"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2011,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2011,"Birmingham","Ladywell walk","Ladywell walk","NA"
2011,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2011,"Birmingham","Ladywell walk","Ladywell walk","NA"
2011,"Birmingham","Ladywell walk","Ladywell walk","NA"
2011,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2011,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2011,"Birmingham","Ladywell walk, Birmingham","Ladywell walk, Birmingham","NA"
2011,"Birmingham","Lattimer Place Winson Green","Lattimer Place Winson Green","NA"
2011,"Birmingham","Lee Longlands,  Broad Street, Birmingham","Lee Longlands,  Broad Street, Birmingham","NA"
2011,"Birmingham","Linwood Rd H'worth","Linwood Rd H'worth","NA"
2011,"Birmingham","Lloyds BarÛ Broad Street","Lloyds BarÛ Broad Street","NA"
2011,"Birmingham","Lloyds Bar, Broad Street","Lloyds Bar, Broad Street","NA"
2011,"Birmingham","Lodge Rd Winson Green","Lodge Rd Winson Green","NA"
2011,"Birmingham","Loft lounge","Loft lounge","NA"
2011,"Birmingham","Long Acre  Nechells","Long Acre  Nechells","NA"
2011,"Birmingham","Lower bull street","Lower bull street","NA"
2011,"Birmingham","Lower bull street","Lower bull street","NA"
2011,"Birmingham","Lower parade, Sutton","Lower parade, Sutton","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Macdonalds, Bordesley Green East","Macdonalds, Bordesley Green East","NA"
2011,"Birmingham","Macdonalds, ramp, city centre, Birmingham","Macdonalds, ramp, city centre, Birmingham","NA"
2011,"Birmingham","Mailbox, Birmingham","Mailbox, Birmingham","NA"
2011,"Birmingham","Mcdonald Street, birmingham","Mcdonald Street, birmingham","NA"
2011,"Birmingham","Millward Close, small Heath","Millward Close, small Heath","NA"
2011,"Birmingham","Mono Bar, Arcadian Centre","Mono Bar, Arcadian Centre","NA"
2011,"Birmingham","Mono Bar,Ladywell Walk, City Centre","Mono Bar,Ladywell Walk, City Centre","NA"
2011,"Birmingham","Moor st","Moor st","NA"
2011,"Birmingham","Moor street","Moor street","NA"
2011,"Birmingham","Moor Street Entance to Bull Ring","Moor Street Entance to Bull Ring","NA"
2011,"Birmingham","Moore Street, Birmingham","Moore Street, Birmingham","NA"
2011,"Birmingham","Moore Street, City Centre, Birmingham","Moore Street, City Centre, Birmingham","NA"
2011,"Birmingham","Moseley park,Alcester Street","Moseley park,Alcester Street","NA"
2011,"Birmingham","Navigation St, Birmingham","Navigation St, Birmingham","NA"
2011,"Birmingham","Navigation Street","Navigation Street","NA"
2011,"Birmingham","Near to Hair & Beauty, Soho Road","Near to Hair & Beauty, Soho Road","NA"
2011,"Birmingham","New Meeting Street,City centre","New Meeting Street,City centre","NA"
2011,"Birmingham","New St","New St","NA"
2011,"Birmingham","New St B'ham City Centre","New St B'ham City Centre","NA"
2011,"Birmingham","New St City Centre","New St City Centre","NA"
2011,"Birmingham","New st railway station","New st railway station","NA"
2011,"Birmingham","New st railway station","New st railway station","NA"
2011,"Birmingham","New st railway station","New st railway station","NA"
2011,"Birmingham","New St, Birmingham","New St, Birmingham","NA"
2011,"Birmingham","New Street","New Street","NA"
2011,"Birmingham","New Street","New Street","NA"
2011,"Birmingham","New Street","New Street","NA"
2011,"Birmingham","New street","New street","NA"
2011,"Birmingham","New Street","New Street","NA"
2011,"Birmingham","New Street","New Street","NA"
2011,"Birmingham","New street","New street","NA"
2011,"Birmingham","New Street","New Street","NA"
2011,"Birmingham","New Street @ Stephenson Street","New Street @ Stephenson Street","NA"
2011,"Birmingham","New Street city centre, Birmingham","New Street city centre, Birmingham","NA"
2011,"Birmingham","New street railwaty","New street railwaty","NA"
2011,"Birmingham","New Street station","New Street station","NA"
2011,"Birmingham","New Street Station","New Street Station","NA"
2011,"Birmingham","New Street Station","New Street Station","NA"
2011,"Birmingham","New Street Station","New Street Station","NA"
2011,"Birmingham","New Street Station, Birmingham","New Street Station, Birmingham","NA"
2011,"Birmingham","New Street station, station approach","New Street station, station approach","NA"
2011,"Birmingham","New Street, Birmingham","New Street, Birmingham","NA"
2011,"Birmingham","New Street, Birmingham","New Street, Birmingham","NA"
2011,"Birmingham","New Street, Birmingham","New Street, Birmingham","NA"
2011,"Birmingham","New Street, City Centre","New Street, City Centre","NA"
2011,"Birmingham","New Street, City Centre","New Street, City Centre","NA"
2011,"Birmingham","New Street, City Centre","New Street, City Centre","NA"
2011,"Birmingham","New Street, City Centre.","New Street, City Centre.","NA"
2011,"Birmingham","Newtown Housing Centre","Newtown Housing Centre","NA"
2011,"Birmingham","Newtown Row","Newtown Row","NA"
2011,"Birmingham","Next Clearance Store, Corporation Street.","Next Clearance Store, Corporation Street.","NA"
2011,"Birmingham","Nineva road ayt Soho Rd","Nineva road ayt Soho Rd","NA"
2011,"Birmingham","Not known","Not known","NA"
2011,"Birmingham","O/s Bham crown court","O/s Bham crown court","NA"
2011,"Birmingham","O/s Flairs Broad Street","O/s Flairs Broad Street","NA"
2011,"Birmingham","O/s Flares club, Broad St, Birmingham","O/s Flares club, Broad St, Birmingham","NA"
2011,"Birmingham","O/S Gatecrasher Broad Street","O/S Gatecrasher Broad Street","NA"
2011,"Birmingham","O/S McDonalds, Ramp, City Centre","O/S McDonalds, Ramp, City Centre","NA"
2011,"Birmingham","O/s new street station","O/s new street station","NA"
2011,"Birmingham","O/S Oceania, Ladywell Walk, Birmingham","O/S Oceania, Ladywell Walk, Birmingham","NA"
2011,"Birmingham","O/s Reflex Broad Street, City Centre","O/s Reflex Broad Street, City Centre","NA"
2011,"Birmingham","O/s The Crown PH Station Road","O/s The Crown PH Station Road","NA"
2011,"Birmingham","O/s Walkabout Broad Street","O/s Walkabout Broad Street","NA"
2011,"Birmingham","O2 Academy","O2 Academy","NA"
2011,"Birmingham","O2 Academy, Horsefair.","O2 Academy, Horsefair.","NA"
2011,"Birmingham","Oh Bar, Broad Street, Birmingham","Oh Bar, Broad Street, Birmingham","NA"
2011,"Birmingham","O'Neils, Broad Street, Birmingham","O'Neils, Broad Street, Birmingham","NA"
2011,"Birmingham","OS Birmingham Magistrates Court","OS Birmingham Magistrates Court","NA"
2011,"Birmingham","Os dubliner ph","Os dubliner ph","NA"
2011,"Birmingham","Outside Bliss  Broad Street","Outside Bliss  Broad Street","NA"
2011,"Birmingham","Outside Bliss nightclub.","Outside Bliss nightclub.","NA"
2011,"Birmingham","Outside Bliss nightclub.","Outside Bliss nightclub.","NA"
2011,"Birmingham","Outside Bliss,Broad Street","Outside Bliss,Broad Street","NA"
2011,"Birmingham","Outside O Velvet, Broad St.","Outside O Velvet, Broad St.","NA"
2011,"Birmingham","Outside Oceana Club","Outside Oceana Club","NA"
2011,"Birmingham","Outside reflex nightclub","Outside reflex nightclub","NA"
2011,"Birmingham","Outside Revolution Bridge St Walsal","Outside Revolution Bridge St Walsal","NA"
2011,"Birmingham","Outside rocket club broad st","Outside rocket club broad st","NA"
2011,"Birmingham","Outside walkabout,Broad Street","Outside walkabout,Broad Street","NA"
2011,"Birmingham","O'Velvet, Nightclub, Broad St, Birmingham","O'Velvet, Nightclub, Broad St, Birmingham","NA"
2011,"Birmingham","Oxhill Road","Oxhill Road","NA"
2011,"Birmingham","Pagoda Island","Pagoda Island","NA"
2011,"Birmingham","Paradise forum","Paradise forum","NA"
2011,"Birmingham","Paradise Forum City Centre Birmingham","Paradise Forum City Centre Birmingham","NA"
2011,"Birmingham","Paradise Forum, Victoria Square, Birmingham","Paradise Forum, Victoria Square, Birmingham","NA"
2011,"Birmingham","Pershore St car park","Pershore St car park","NA"
2011,"Birmingham","Pershore Street Road, City Centre","Pershore Street Road, City Centre","NA"
2011,"Birmingham","Pershore Street, City Centre.","Pershore Street, City Centre.","NA"
2011,"Birmingham","Pizza Hut, New St, Birmingham","Pizza Hut, New St, Birmingham","NA"
2011,"Birmingham","Quigley Avenue","Quigley Avenue","NA"
2011,"Birmingham","Rag market, city centre","Rag market, city centre","NA"
2011,"Birmingham","Reflex on Broad Street, Birmingham","Reflex on Broad Street, Birmingham","NA"
2011,"Birmingham","Regency wharf","Regency wharf","NA"
2011,"Birmingham","Risa Bar, Birmingham","Risa Bar, Birmingham","NA"
2011,"Birmingham","Risa,Broad Street","Risa,Broad Street","NA"
2011,"Birmingham","Rookery Road, Handsworth","Rookery Road, Handsworth","NA"
2011,"Birmingham","Rottersley Street, Birmingham","Rottersley Street, Birmingham","NA"
2011,"Birmingham","Rotunda Island, City CEntre","Rotunda Island, City CEntre","NA"
2011,"Birmingham","Sainsburys Colmore Row","Sainsburys Colmore Row","NA"
2011,"Birmingham","Sandringham Road","Sandringham Road","NA"
2011,"Birmingham","Sandwell Hospital","Sandwell Hospital","NA"
2011,"Birmingham","Sence in the Arcadian","Sence in the Arcadian","NA"
2011,"Birmingham","Sense Nightclub, Arcadia, Birmingham","Sense Nightclub, Arcadia, Birmingham","NA"
2011,"Birmingham","Shadwell Street","Shadwell Street","NA"
2011,"Birmingham","Shakespeare Bar, New Street Station.","Shakespeare Bar, New Street Station.","NA"
2011,"Birmingham","Shakespeare PH, New St Station","Shakespeare PH, New St Station","NA"
2011,"Birmingham","Sheepcote Street, Birmingham","Sheepcote Street, Birmingham","NA"
2011,"Birmingham","Sioho Road, Handsworth","Sioho Road, Handsworth","NA"
2011,"Birmingham","Slade Road, erdington","Slade Road, erdington","NA"
2011,"Birmingham","Small brook Queensway","Small brook Queensway","NA"
2011,"Birmingham","Smallbrook Queensway","Smallbrook Queensway","NA"
2011,"Birmingham","Smallbrook queensway","Smallbrook queensway","NA"
2011,"Birmingham","Smallbrook queensway","Smallbrook queensway","NA"
2011,"Birmingham","Smallbrook Queensway City Centre Birmingham","Smallbrook Queensway City Centre Birmingham","NA"
2011,"Birmingham","Smallbrook Queensway,City centre","Smallbrook Queensway,City centre","NA"
2011,"Birmingham","Smethwick end","Smethwick end","NA"
2011,"Birmingham","Soho hill","Soho hill","NA"
2011,"Birmingham","Soho Hill, Handsworth, Birmingham","Soho Hill, Handsworth, Birmingham","NA"
2011,"Birmingham","Soho Road","Soho Road","NA"
2011,"Birmingham","Soho Road","Soho Road","NA"
2011,"Birmingham","Soho Road","Soho Road","NA"
2011,"Birmingham","Soho road","Soho road","NA"
2011,"Birmingham","Sommerfield Park, Winson Green","Sommerfield Park, Winson Green","NA"
2011,"Birmingham","Square peg PH","Square peg PH","NA"
2011,"Birmingham","Square Peg,Corporation Street","Square Peg,Corporation Street","NA"
2011,"Birmingham","Star city, Aston.","Star city, Aston.","NA"
2011,"Birmingham","Star City, Birmingham","Star City, Birmingham","NA"
2011,"Birmingham","Star City, Nechells","Star City, Nechells","NA"
2011,"Birmingham","Station Road, City Centre","Station Road, City Centre","NA"
2011,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2011,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2011,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2011,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2011,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2011,"Birmingham","Steelhouse lane","Steelhouse lane","NA"
2011,"Birmingham","Steelhouse lane","Steelhouse lane","NA"
2011,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2011,"Birmingham","Steelhouse Lane Police station","Steelhouse Lane Police station","NA"
2011,"Birmingham","Steelhouse Lane, Birmingham","Steelhouse Lane, Birmingham","NA"
2011,"Birmingham","Steelhouse Lane, City Centre, Birmingham","Steelhouse Lane, City Centre, Birmingham","NA"
2011,"Birmingham","Stephenson St","Stephenson St","NA"
2011,"Birmingham","Stephenson Street","Stephenson Street","NA"
2011,"Birmingham","Stephenson Street, Birmingham City","Stephenson Street, Birmingham City","NA"
2011,"Birmingham","Stephenson Street, City Centre","Stephenson Street, City Centre","NA"
2011,"Birmingham","Stephensons Street","Stephensons Street","NA"
2011,"Birmingham","Suffolk St Queensway","Suffolk St Queensway","NA"
2011,"Birmingham","Sugar Suite, Broad Street","Sugar Suite, Broad Street","NA"
2011,"Birmingham","Summer lane","Summer lane","NA"
2011,"Birmingham","Summer row","Summer row","NA"
2011,"Birmingham","Temple Row","Temple Row","NA"
2011,"Birmingham","Temple row","Temple row","NA"
2011,"Birmingham","Tennant St","Tennant St","NA"
2011,"Birmingham","Terrace Road, Handsworth","Terrace Road, Handsworth","NA"
2011,"Birmingham","Tesco aston lane","Tesco aston lane","NA"
2011,"Birmingham","Tesco SpringHill","Tesco SpringHill","NA"
2011,"Birmingham","The Parade Sutton Coldfield","The Parade Sutton Coldfield","NA"
2011,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2011,"Birmingham","The Ramp, Corporation St, Birmingham","The Ramp, Corporation St, Birmingham","NA"
2011,"Birmingham","The Ramp.","The Ramp.","NA"
2011,"Birmingham","Thornhill Road, Birmingham","Thornhill Road, Birmingham","NA"
2011,"Birmingham","Thornhill Road, Handsworth","Thornhill Road, Handsworth","NA"
2011,"Birmingham","Thorpe St at Hurst St","Thorpe St at Hurst St","NA"
2011,"Birmingham","Thorpe Street","Thorpe Street","NA"
2011,"Birmingham","Trocadero Public house o/s","Trocadero Public house o/s","NA"
2011,"Birmingham","Turners Pallets, Hayhole road","Turners Pallets, Hayhole road","NA"
2011,"Birmingham","Upper dean street","Upper dean street","NA"
2011,"Birmingham","Upper Dean Street, Birmingham","Upper Dean Street, Birmingham","NA"
2011,"Birmingham","Upper Dean Street, Birmingham City Centre","Upper Dean Street, Birmingham City Centre","NA"
2011,"Birmingham","Upper Dean Street, City Centre","Upper Dean Street, City Centre","NA"
2011,"Birmingham","Upper parade Sutton Coldfield","Upper parade Sutton Coldfield","NA"
2011,"Birmingham","Upper Parade Sutton Coldfield","Upper Parade Sutton Coldfield","NA"
2011,"Birmingham","Victoria square,  bham","Victoria square,  bham","NA"
2011,"Birmingham","Victoria Square, City Centre.","Victoria Square, City Centre.","NA"
2011,"Birmingham","Waiverley park,Handsworth","Waiverley park,Handsworth","NA"
2011,"Birmingham","Walkabout bar broad st","Walkabout bar broad st","NA"
2011,"Birmingham","Walkabout PH, Broad St, Birmingham","Walkabout PH, Broad St, Birmingham","NA"
2011,"Birmingham","Walkabout PH, Broad Street, Birmingham","Walkabout PH, Broad Street, Birmingham","NA"
2011,"Birmingham","Walkabout, Broad Street","Walkabout, Broad Street","NA"
2011,"Birmingham","Walsall road,  great barr","Walsall road,  great barr","NA"
2011,"Birmingham","Walsall Road, Perry Barr","Walsall Road, Perry Barr","NA"
2011,"Birmingham","Warf road kings norton","Warf road kings norton","NA"
2011,"Birmingham","Warwards Lane","Warwards Lane","NA"
2011,"Birmingham","Washington Drive, Handsworth Wood","Washington Drive, Handsworth Wood","NA"
2011,"Birmingham","Washington Street","Washington Street","NA"
2011,"Birmingham","Waterloo Road, Smethwick","Waterloo Road, Smethwick","NA"
2011,"Birmingham","Waverhill Park, Handsworth","Waverhill Park, Handsworth","NA"
2011,"Birmingham","Waverhill Road, Handsworth","Waverhill Road, Handsworth","NA"
2011,"Birmingham","Way entrance villa ground","Way entrance villa ground","NA"
2011,"Birmingham","Wellington Road","Wellington Road","NA"
2011,"Birmingham","Witton Arms","Witton Arms","NA"
2011,"Birmingham","Witton Road","Witton Road","NA"
2011,"Birmingham","Witton Road","Witton Road","NA"
2011,"Birmingham","Witton Road Aston","Witton Road Aston","NA"
2011,"Birmingham","Wrottesley Street","Wrottesley Street","NA"
2011,"Coventry","Primrose hill Coventry","Primrose hill Coventry","NA"
2011,"Coventry","Albany road","Albany road","NA"
2011,"Coventry","Aldbourne Road","Aldbourne Road","NA"
2011,"Coventry","Aldermans green road","Aldermans green road","NA"
2011,"Coventry","Allesley Old Road","Allesley Old Road","NA"
2011,"Coventry","Almond Tree Avenue","Almond Tree Avenue","NA"
2011,"Coventry","Arbury ave Coventry","Arbury ave Coventry","NA"
2011,"Coventry","Arena carpark A444","Arena carpark A444","NA"
2011,"Coventry","Argyle st Coventry","Argyle st Coventry","NA"
2011,"Coventry","Armstrong Avenue Stoke","Armstrong Avenue Stoke","NA"
2011,"Coventry","Ashorne Close","Ashorne Close","NA"
2011,"Coventry","Attoxhall Rd","Attoxhall Rd","NA"
2011,"Coventry","Averley road , daimler green","Averley road , daimler green","NA"
2011,"Coventry","Awson Street","Awson Street","NA"
2011,"Coventry","Bandals Surgery, Foleshill Road","Bandals Surgery, Foleshill Road","NA"
2011,"Coventry","Bell green rd Junction A444","Bell green rd Junction A444","NA"
2011,"Coventry","Bell Green Road, Coventry","Bell Green Road, Coventry","NA"
